objectid,filename,title,metadatacreator,creator,date,description,subject,keyword,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
013_19450130,013_19450130_medium.jpg,Staff,Andrijana,,,Man gathering,,,,,,,013_19450130_medium.jpg,Image:StillImage,image/jpeg,eng,,,image,/objects/013_19450130_medium.jpg,/objects/small/013_19450130_medium_sm.jpg,/objects/thumbs/013_19450130_medium_th.jpg,,
014_19450130,014_19450130_medium.jpg,Road Snow Removal,Katarina ,,1945-01-30,"Men driving snow removal vehicle at Route N420 Épinal , France. World War II, 1321st Engineer General Service Regiment, Épinal , France.No. 014. Snow removal, Route N420, Co. C. 
Road Epinal to Rambervillers, France. 1-30-1945.
Aldo H. Bagnulo Collection.","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, Épinal, France, Rambervillers, France, Road, Snow, Snow Removal, Vehicle, World War II, World War 2","Épinal, France",48.17352,6.45302,,014_19450130_medium.jpg,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,image,/objects/014_19450130_medium.jpg,/objects/small/014_19450130_medium_sm.jpg,/objects/thumbs/014_19450130_medium_th.jpg,,
015_19450130,015_19450130_medium.jpeg,Bailey Bridge,Daijai,,1945-01-30,"Bailey Bridge, Moselle River, Charmes, France",,Bailey Bridge; Moselle River; Charmes; France; French; 1945 ,"Charmes, France",,,,015_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/015_19450130_medium.jpg,/objects/small/015_19450130_medium_sm.jpg,/objects/thumbs/015_19450130_medium_th.jpg,,
016_19450130,016_1945130_medium.jpeg,Baily Bridge over Moselle River,Branden,,1945-01-30,"Bailey Bridge, Moselle River, Charmes, France","World War,1939-1945; Military Installations; Bridges; Engineering",snow; WWII; construction; maintenance; 1321st Engineer General Service Regiment,"Charmes, France",48.37515446,6.290375637,,016_1945130,Image:StillImage,image/jpeg,eng,,,image,,,,,
017_19450130,017_19450130_medium.jpeg,"""Prefabs"" at 51st Station Hospital",Branden,,1945-01-30,51st Station Hospital,"World War, 1939-1945; Military Hospital; ",snow; prefab; WWII; hospital; 1321st Engineer General Service Regiment,"Lunéville, France",48.37515446,6.290375637,,017_19450130,Image:StillImage,image/jpeg,eng,,,image,,,,,
018_19450130,018_19450130_medium.jpeg,51st Station Hospital,Branden,,1945-01-30,51st station hospital interior,"World War, 1939-1945; Military Hospital; ",WWII; interior; hospital; 1321st Engineer General Service Regiment,"Lunéville, France",48.37515446,6.290375637,,018_19450130,Image:StillImage,image/jpeg,eng,,,image,,,,,
019_19450130,019_19450130_medium.jpeg,Bailey Bridge ,Daijai ,,1945-01-30,"Bailey Bridge, Moselle River, Charmes, France",,Bailey Bridge; Moselle River; Charmes; France; French; 1945 ,"Charmes, France",,,,019_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/019_19450130_medium.jpg,/objects/small/019_19450130_medium_sm.jpg,/objects/thumbs/019_19450130_medium_th.jpg,,
020_19450130,020_19450130_medium.jpeg,"""Prefabs"" at 51st Station Hospital",Daijai,,1945-01-30,51st Station Hospital ,,,"Lunéville, France",,,,020_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/020_19450130_medium.jpg,/objects/small/020_19450130_medium_sm.jpg,/objects/thumbs/020_19450130_medium_th.jpg,,
021_19450130,021_19450130_medium.jpeg,Moselle River ,Daijai,,1945-01-30,Moselle River ,,,"Charmes, France",,,,021_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/021_19450130_medium.jpg,/objects/small/021_19450130_medium_sm.jpg,/objects/thumbs/021_19450130_medium_th.jpg,,
023_19450130,023_19450130_medium.jpeg,"""Prefabs"" at 51st Station Hospital",Daijai,,1945-01-30,51st Station Hospital,,,"Lunéville, France",,,,023_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/023_19450130_medium.jpg,/objects/small/023_19450130_medium_sm.jpg,/objects/thumbs/023_19450130_medium_th.jpg,,
025_19450130,025_19450130_medium.jpeg,"""Prefabs"" at 51st Station Hospital",Daijai,,1945-01-30,51st Station Hospital,,,"Lunéville, France",,,,025_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/025_19450130_medium.jpg,/objects/small/025_19450130_medium_sm.jpg,/objects/thumbs/025_19450130_medium_th.jpg,,
032_19450129,032_19450129_medium.jpg,Road and civilians and troops,Jolil,,1945-02-09,"Road Failure, Route D9 at Junction 414, F Co., 2-9-45 road that civilians and militants of WWII traveled","World War, 1939-1945; Military","WWII, road, dirt, millitary, France","Lunéville, France",48.37515446,6.290375637,,032_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/032_19450129_medium.jpg,/objects/small/032_19450129_medium_sm.jpg,/objects/thumbs/032_19450129_medium_th.jpg,,
033_19450129,033_19450129_medium.jpg,Troops repair road,Jolil,,1945-02-09,"Road Failure, Route D9 at Junction 414, F Co., 2-9-45, road being repaired","World War, 1939-1945; Military","WWII, road, dirt, millitary, repair, engineering, France","Lunéville, France",48.37515446,6.290375637,,033_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/033_19450129_medium.jpg,/objects/small/033_19450129_medium_sm.jpg,/objects/thumbs/033_19450129_medium_th.jpg,,
034_19450130,034_19450129_medium.jpg,Equipment,Jolil,,1945-02-09,"Road Failure, Route D9 at Junction 414, F Co., 2-9-45, road being repaired, machinery","World War, 1939-1945; Military","WWII, road, dirt, millitary, France, metal, machinery, repair","Lunéville, France",48.37515446,6.290375637,,034_19450131,Image: StillImage,image/jpeg,eng,,,image,/objects/034_19450129_medium.jpg,/objects/small/034_19450129_medium_sm.jpg,/objects/thumbs/034_19450129_medium_th.jpg,,
035_19450130,035_19450129_medium.jpg,Trees,Jolil,,1945-02-09,"Scenes - General Interest, worm's eye view of trees and sky","World War, 1939-1945; Military","Sky, nature, trees, WWII, France, branches, clouds","Lunéville, France",48.37515446,6.290375637,,035_19450132,Image: StillImage,image/jpeg,eng,,,image,/objects/035_19450129_medium.jpg,/objects/small/035_19450129_medium_sm.jpg,/objects/thumbs/035_19450129_medium_th.jpg,,
036_19450130,036_19450129_medium.jpg,"Equipment, ctd. ",Jolil,,1945-02-09,"Road Failure, Route D9 at Junction 414, F Co., militants at work","World War, 1939-1945; Military","WWII, militants, road, repair, France, dirt, uniform, gravel, dirt","Lunéville, France",48.37515446,6.290375637,,036_19450133,Image: StillImage,image/jpeg,eng,,,image,/objects/036_19450129_medium.jpg,/objects/small/036_19450129_medium_sm.jpg,/objects/thumbs/036_19450129_medium_th.jpg,,
037_19450209,037_19450209_medium_jpeg,Road Failure Dump Truck ,Katarina ,,1945-02-09,"Men attending to dump truck at Route D9 at Junction 414. World War II, 1321st Engineer General Service Regiment, Lunéville, France, Road Failure, Route D9 at Junction 414, F Co. [equipment]. Vehicle stop. 2-9-1945.Aldo H. Bagnulo Collection.","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, Lunéville, France, Road, Road Failure, Vehicle, World War II, World War 2","Lunéville, France",48.59374,6.49209,,,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,,,,,,
038_19450209,038_19450209_medium_jpeg,Road Failure Vehicle in Large Hole in Road,Katarina ,,1945-02-09,"Vehicle in large hole in road at Route D9 at Junction 414. World War II, 1321st Engineer General Service Regiment, Lunéville, France. No. 038. Road Failure, Route D9 at Junction 414, F Co. [equipment]. 
2-9-1945.Aldo H. Bagnulo Collection.","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, Lunéville, France, Road, Road Failure, World War II, World War 2","Lunéville, France",48.59374,6.49209,,,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,,,,,,
039_19450209,039_19450209_medium_jpeg,Road Failure Bulldozer in ditch in road,Katarina ,,1945-02-09,"Men clearning road with Bludozer in ditch at Route D9 at Junction 414. World War II, 1321st Engineer General Service Regiment, Lunéville, France. No. 039. Road Failure, Route D9 at Junction 414, F Co. [equipment]. 
2-9-1945.Aldo H. Bagnulo Collection.","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, Lunéville, France, Road, Road Failure, World War II, World War 2","Lunéville, France",48.59374,6.49209,,,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,,,,,,
040_19450209,040_19450209_medium_jpeg,Road Failure,Katarina ,,1945-02-09,"Men moving lumbar at Route D9 at Junction 414, F Co. (corduroy road). World War II, 1321st Engineer General Service 
Regiment, Road Failure, Route D9 at Junction 414, F Co. (corduroy road). 
2-9-1945.Aldo H. Bagnulo Collection.Feb. 9, 1945#40","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Lunéville, France, Black Engineers, Black Soldiers, Road, Road Failure, World War II, World War 2","Lunéville, France",48.59374,6.49209,,,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,,,,,,
041_19450209,041_19450209_medium_jpeg,Road Failure Plant Building,Katarina ,,1945-02-09,"Plant building and vehicles at Route D9 at Junction 414. World War II, 1321st Engineer General Service Regiment, Lunéville, France. No. 041. Road Failure, Route D9 at Junction 414, F Co. [plant 
buildings]. 2-9-1945.Aldo H. Bagnulo Collection.","African Americans, Engineers, Engineering, Roads, Soldiers, United States. Army- African Americans, United States. Army- African American Troops, World War, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, Lunéville, France, Road, Road Failure, World War II, World War 2","Lunéville, France",48.59374,6.49209,,,Image:StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,Aldo H. Bagnulo Collection.,,,,,,
042_19450209,042_19450209_medium.jpeg,"Two soldiers and lumbar yard in Vincey, France",Sarah,,1945-02-09,"Double exposure image of two soldiers standing outdoors and a lumber yard in Vincey, France during WWII.","1321st Engineer General Service Regiment, WWII","lumber yard; lumber; soldiers; Vincey; France; WWII; 1945; military; 1321st Engineer
General Service Regiment","Vincey, France",48.3431844,6.335003671,,042_19450209,Image;StillImage,image/jpeg,eng,,,image,/objects/042_19450209_medium.jpg,/objects/small/042_19450209_medium_sm_jpg,/objects/thumbs/042_19450209_medium_th.jpg,,
043_19450209,043_19450209_medium.jpeg,"Two soldiers standing outdoors in Vincey, France",Sarah,,1945-02-09,"Two soldiers standing outdoors in Vincey, France during WWII.","1321st Engineer General Service Regiment, WWII","soldiers; Vincey; France; WWII; 1945; military; 1321st Engineer
General Service Regiment","Vincey, France",48.3431844,6.335003671,,043_19450209,Image;StillImage,image/jpeg,eng,,,image,/objects/043_19450209_medium.jpg,/objects/small/043_19450209_medium_sm_jpg,/objects/thumbs/043_19450209_medium_th.jpg,,
044_19450209,044_19450209_medium.jpeg,"Soldiers working at lumber yard in Vincey, France",Sarah,,1945-02-09,"Soldiers working at lumber yard in Vincey, France during WWII.","1321st Engineer General Service Regiment, WWII","lumber yard; lumber; soldiers; Vincey; France; WWII; 1945; military; 1321st Engineer
General Service Regiment","Vincey, France",48.3431844,6.335003671,,044_19450209,Image;StillImage,image/jpeg,eng,,,image,/objects/044_19450209_medium.jpg,/objects/small/044_19450209_medium_sm_jpg,/objects/thumbs/044_19450209_medium_th.jpg,,
045_19450209,045_19450209_medium.jpeg,"Soldiers working at lumber yard in Vincey, France",Sarah,,1945-02-09,"Soldiers working at lumber yard in Vincey, France during WWII.","1321st Engineer General Service Regiment, WWII","lumber yard; lumber; soldiers; Vincey; France; WWII; 1945; military; 1321st Engineer
General Service Regiment","Vincey, France",48.3431844,6.335003671,,045_19450209,Image;StillImage,image/jpeg,eng,,,image,/objects/045_19450209_medium.jpg,/objects/small/045_19450209_medium_sm_jpg,/objects/thumbs/045_19450209_medium_th.jpg,,
046_19450209,046_19450209_medium.jpeg,"Lumber yard in Vincey, France",Sarah,,1945-02-09,"Lumber yard in Vincey, France during WWII.","1321st Engineer General Service Regiment, WWII","lumber yard; lumber; Vincey; France; WWII; 1945; military; 1321st Engineer
General Service Regiment","Vincey, France",48.3431844,6.335003671,,046_19450209,Image;StillImage,image/jpeg,eng,,,image,/objects/046_19450209_medium.jpg,/objects/small/046_19450209_medium_sm_jpg,/objects/thumbs/046_19450209_medium_th.jpg,,
047_19540209,047_1945-02-09_medium.jpeg,"Equipment digging a pit in Vincey, France",Sophie,,1945-02-09,"Heavy equipment digging a pit in Vincey, France","1321st Engineer General Service Regiment, WWII","equipment; cinder pit; lumber yard; WWII; 1945; military; 1321st Engineer General Service Regiment, WWII","Vincey, France",48.3431844,6.335003671,,047_1945-02-09,Image;StillImage,image/jpeg,eng,,,image,,,,,
048_19540209,048_1945-02-09_medium.jpeg,"Equipment digging a pit in Vincey, France",Sophie,,1945-02-09,"Heavy equipment digging a pit in Vincey, France","1321st Engineer General Service Regiment, WWII","equipment; cinder pit; lumber yard; WWII; 1945; military; 1321st Engineer General Service Regiment, WWII","Vincey, France",48.3431844,6.335003671,,048_1945-02-09,Image;StillImage,image/jpeg,eng,,,image,,,,,
053_1945-02-10,053_1945-02-10_medium.jpeg,"Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony].",Colby,,1945-02-10,Courtyard ceremony,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment,         
Army ceremony, Military, Legion of Merit, Courtyard ceremony, Military Ceremony, World War II, WWII, Aldo H. Bagnulo, Lt. Col. Aldo H. Bagnulo Engineer General Service regiment, Army Corps of Engineers, African-American soldiers, Army, Black engineer units, Military segregation, Engineering and construction, World War, 1945, ceremony","Lunéville, France",48.59374,6.290375637,,053_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,"Bagnulo_LSIS5830Spring24
",,,,
054_1945-02-10,054_1945-02-10_medium.jpeg,"Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony].",Colby,,1945-02-10,Courtyard ceremony,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment,         
Army ceremony, Military, Legion of Merit, Courtyard ceremony, Military Ceremony, World War II, WWII, Aldo H. Bagnulo, Lt. Col. Aldo H. Bagnulo Engineer General Service regiment, Army Corps of Engineers, African-American soldiers, Army, Black engineer units, Military segregation, Engineering and construction, World War, 1945, ceremony","Lunéville, France",48.59374,6.290375637,,054_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,"Aldo H. Bagnulo Collection      
This item is in the public domain. Please use proper credit.",image,"Bagnulo_LSIS5830Spring24
",,,,
051_1945-02-10,051_1945-02-10_medium.jpeg,"Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony].",Clay,,1945-02-10,ceremony,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, ceremony, military, Legion of Merit, Trucking, courtyard","Lunéville, France",48.59374,6.290375637,,051_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
052_1945-02-10,052_1945-02-10_medium.jpeg,"Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony].",Clay,,1945-02-10,ceremony,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, ceremony, military, Legion of Merit, Trucking, courtyard","Lunéville, France",48.59374,6.290375637,,052_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
085_1945-02-17,085_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [truck bed].",Clay,,1945-02-17,truck bed,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, truck bed",,,,,085_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
086_1945-02-17,086_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [leaves].",Clay,,1945-02-17,leaves,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, leaves",,,,,086_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
087_1945-02-17,087_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [field].",Clay,,1945-02-17,field,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, field",,,,,087_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
088_1945-02-17,088_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [field].",Clay,,1945-02-17,field,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, field",,,,,088_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
089_1945-02-17,089_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [field].",Clay,,1945-02-17,field,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, field",,,,,089_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
090_1945-02-17,090_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [tree limbs].",Clay,,1945-02-17,tree limbs,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, tree limbs",,,,,090_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
091_1945-02-17,091_1945-02-17_medium.jpeg,"Fouchecourt Case, Co. A. [tree limbs].",Clay,,1945-02-17,tree limbs,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Fouchecourt Case, Co. A, tree limbs",,,,,091_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
092_1945-02-17,092_1945-02-17_medium.jpeg,Regimental Personnel.,Clay,,1945-02-17,soldier and truck,1321st Engineer General Service Regiment,"1321st Engineer General Service Regiment, Regimental personnel, soldier and truck",,,,,092_1945-02-17,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection,Aldo H. Bagnulo Collection.This item is in the public domain. Please use proper credit.,image,Bagnulo_LSIS5830Spring24,,,,
055_1945-02-10,055_1945-02-10_medium.jpeg," Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony]",Ladapo,,1945-02-10,"No. 055. Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony]. 2-10-1945.Aldo H. Bagnulo Collection.1321st Engineer General Service Regiment.Negative-only; no print.","World War II, African Americans, Engineer Troops, Construction, Repair, Roads, Airfields, Bridges, Soldiers, United States, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, World War","Lunéville, France",48.5922° N,6.4923° E,,055_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,"        
This item is in the public domain. Please use proper credit.",image,Bagnulo_LSIS5830Spring24,/objects/small/055_19450210_medium_sm_jpg,/objects/thumbs/055_19450210_medium_th.jpg,,
056_1945-02-10,056_1945-02-10_medium.jpeg," Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony]",Ladapo,,1945-02-10,"No. 056. Legion of Merit, C.O. of 105 Qm Trucking Bn. [courtyard ceremony]. 2-10-1945.Aldo H. Bagnulo Collection.1321st Engineer General Service Regiment.Negative-only; no print.","World War II, African Americans, Engineer Troops, Construction, Repair, Roads, Airfields, Bridges, Soldiers, United States, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, World War","Lunéville, France",48.5922° N,6.4923° E,,056_1945-02-10,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,"        
This item is in the public domain. Please use proper credit.",image,Bagnulo_LSIS5830Spring25,/objects/small/056_19450210_medium_sm_jpg,/objects/thumbs/056_19450210_medium_th.jpg,,
103_1945-2-19,103_1945-2-19_medium.jpeg,"Domgermain, France [equipment]",Ladapo,,1945-19-02,"No. 103. Domgermain, France [equipment]. 2-19-1945.Aldo H. Bagnulo Collection.1321st Engineer General Service Regiment.Feb. 19, 1945#103","World War II, African Americans, Engineer Troops, Construction, Repair, Roads, Airfields, Bridges, Soldiers, United States, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, World War, Equipment","Domgermain, France ",48.6426° N,5.8279° E,,103_1945-2-19,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,"        
This item is in the public domain. Please use proper credit.",image,Bagnulo_LSIS5830Spring26,/objects/small/103_19450219_medium_sm_jpg,/objects/thumbs/103_19450219_medium_th.jpg,,
104_1945-2-19,104_1945-2-19_medium.jpeg,"Domgermain, France [pipeline].",Ladapo,,1945-19-02,"No. 104. Domgermain, France [pipeline]. 2-19-1945.Aldo H. Bagnulo Collection.1321st Engineer General Service Regiment.Februaury 19, 1945#104","World War II, African Americans, Engineer Troops, Construction, Repair, Roads, Airfields, Bridges, Soldiers, United States, 1939-1945","1321st Engineer General Service Regiment, Black Engineers, Black Soldiers, World War, Pipeline","Domgermain, France ",48.6426° N,5.8279° E,,104_1945-2-19,Image;StillImage,image/jpeg,eng,Aldo H. Bagnulo Collection.,"        
This item is in the public domain. Please use proper credit.",image,Bagnulo_LSIS5830Spring27,/objects/small/104_19450219_medium_sm_jpg,/objects/thumbs/104_19450219_medium_th.jpg,,
